tract_geoid,month_start,y_incidents_12m,predicted_next_30d,risk_score,lag_1m_count,rolling_mean_3m,rolling_mean_12m,total_pop_acs,median_hh_income_acs
17031824125,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4443,117917
17031824126,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5416,168194
17031824127,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4001,116087
17031824128,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4445,97778
17031824129,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4074,95953
17031824300,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4891,59423
17031824400,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,1855,43750
17031824503,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,6135,79948
17031824505,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,6484,73739
17031824507,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3650,88889
17031824508,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3188,69857
17031824509,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5104,116310
17031824601,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4207,88598
17031824602,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,6591,86560
17031824701,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3532,51458
17031824702,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5530,59918
17031824800,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,7133,58312
17031824900,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2952,46458
17031825000,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4401,69591
17031825200,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,1921,83846
17031825302,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5472,101429
17031825303,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3995,78814
17031825304,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4192,92039
17031825400,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5502,91881
17031825501,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5493,63603
17031825503,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,7559,63104
17031825504,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3222,64360
17031825505,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5346,69785
17031825600,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5332,52734
17031825700,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4028,53397
17031825801,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3448,41100
17031825802,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,7239,70346
17031825803,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5761,63966
17031825900,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3442,60833
17031826000,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2724,60668
17031826100,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4698,50918
17031826201,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3837,41614
17031826202,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5662,59767
17031826301,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4365,65679
17031826303,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3646,77151
17031826304,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2947,50000
17031826401,2025-12-01,2.0,0.1045477041173977,0.1,0.0,0.0,0.16666666666666666,3337,52043
17031826402,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5109,49803
17031826500,2025-12-01,1.0,0.08412877704880747,0.1,0.0,0.0,0.08333333333333333,5599,53235
17031826600,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4872,41411
17031826700,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4390,48014
17031826800,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4942,57702
17031826901,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,1728,30215
17031826902,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,1467,39808
17031827000,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3399,43569
17031827100,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,1999,34882
17031827200,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3571,55116
17031827300,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2363,30547
17031827400,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2781,35030
17031827500,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4389,63619
17031827600,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2884,38803
17031827700,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2659,47574
17031827801,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4938,76717
17031827802,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3064,90246
17031827804,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3037,65238
17031827805,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2645,84250
17031827901,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,1936,103958
17031827902,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4331,59826
17031828000,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5119,65227
17031828100,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5388,65190
17031828201,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3492,66514
17031828202,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5334,62917
17031828300,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3062,55375
17031828401,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3748,77143
17031828402,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3517,52768
17031828503,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4274,53438
17031828504,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5413,49692
17031828505,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,7218,97463
17031828507,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4164,81611
17031828508,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4095,47321
17031828601,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4391,96006
17031828602,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4310,101371
17031828701,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4399,68785
